sentence_id	token_id	token	annotator_1	annotator_2	resolved_label
2	2	batuk	B-GEJALA	O	B-GEJALA
8	3	bengkak	B-GEJALA	B-ANATOMI	B-GEJALA
14	5	hidung	B-ANATOMI	B-OBAT	B-ANATOMI
26	1	kepala	B-ANATOMI	B-DIAGNOSIS	B-ANATOMI
31	9	nyeri	B-GEJALA	B-DOSIS	B-GEJALA
37	2	setelah	B-DOSIS	B-DIAGNOSIS	B-DOSIS
37	3	minum	I-DOSIS	I-DIAGNOSIS	I-DOSIS
48	7	gatal	B-GEJALA	B-DIAGNOSIS	B-GEJALA
72	7	nyeri	B-GEJALA	O	B-GEJALA
77	5	bentol	B-GEJALA	B-DIAGNOSIS	B-GEJALA
80	1	salep	B-OBAT	B-ANATOMI	B-OBAT
86	1	obat	B-OBAT	O	B-OBAT
86	2	batuk	I-OBAT	O	I-OBAT
96	3	alergi	B-GEJALA	B-ANATOMI	B-GEJALA
98	2	vagina	B-ANATOMI	O	B-ANATOMI
112	7	gatal	B-GEJALA	B-DIAGNOSIS	B-GEJALA
121	3	mual	B-GEJALA	O	B-GEJALA
123	1	kulit	B-ANATOMI	B-DOSIS	B-ANATOMI
149	3	gatal	B-GEJALA	B-DIAGNOSIS	B-GEJALA
159	4	antibiotik	B-OBAT	O	B-OBAT
162	3	badan	B-ANATOMI	B-DIAGNOSIS	B-ANATOMI
163	6	setelah	B-DOSIS	B-OBAT	B-DOSIS
163	7	minum	I-DOSIS	I-OBAT	I-DOSIS
183	1	nyeri	B-GEJALA	B-DOSIS	B-GEJALA
206	6	hidung	B-ANATOMI	O	B-ANATOMI
211	5	nyeri	B-GEJALA	O	B-GEJALA
214	1	wajah	B-ANATOMI	O	B-ANATOMI
214	8	gatal	B-GEJALA	O	B-GEJALA
218	1	bentol	B-GEJALA	O	B-GEJALA
237	9	lemas	B-GEJALA	O	B-GEJALA
245	8	paracetamol	B-OBAT	B-ANATOMI	B-OBAT
262	1	sesak	B-GEJALA	O	B-GEJALA
262	2	napas	I-GEJALA	O	I-GEJALA
268	1	hidung	B-ANATOMI	B-GEJALA	B-ANATOMI
270	5	mual	B-GEJALA	B-ANATOMI	B-GEJALA
295	1	vagina	B-ANATOMI	O	B-ANATOMI
304	5	asam	B-DIAGNOSIS	O	B-DIAGNOSIS
304	6	lambung	I-DIAGNOSIS	O	I-DIAGNOSIS
311	10	nyeri	B-GEJALA	B-DIAGNOSIS	B-GEJALA
312	7	wajah	B-ANATOMI	B-DIAGNOSIS	B-ANATOMI
313	7	bengkak	B-GEJALA	B-OBAT	B-GEJALA
318	3	demam	B-GEJALA	B-ANATOMI	B-GEJALA
325	2	bruntusan	B-GEJALA	B-OBAT	B-GEJALA
326	5	nyeri	B-GEJALA	O	B-GEJALA
332	1	jantung	B-ANATOMI	O	B-ANATOMI
338	4	mata	B-ANATOMI	O	B-ANATOMI
349	5	gatal	B-GEJALA	B-ANATOMI	B-GEJALA
349	7	bibir	B-ANATOMI	O	B-ANATOMI
363	1	pusing	B-GEJALA	B-ANATOMI	B-GEJALA
364	1	antibiotik	B-OBAT	O	B-OBAT
369	6	batuk	B-GEJALA	O	B-GEJALA
396	4	gatal	B-GEJALA	B-OBAT	B-GEJALA
